Year,Value,Category,Metric,Statistic
1994,321,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1994,1031,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1994,10,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1994,198,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1994,547,Business,Reason for Journey,Visitors to Ireland (Thousand)
1994,4.5,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1994,143,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1994,297,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1994,13.9,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1995,871,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1995,2314,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1995,8.5,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1995,329,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1995,1014,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1995,9.9,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1995,221,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1995,597,Business,Reason for Journey,Visitors to Ireland (Thousand)
1995,4.3,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1995,161,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1995,332,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1995,13.7,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1996,959,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1996,2466,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1996,9,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1996,376,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1996,1139,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1996,9.6,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1996,269,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1996,757,Business,Reason for Journey,Visitors to Ireland (Thousand)
1996,4.5,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1996,187,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1996,376,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1996,13.6,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1997,1064,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1997,2767,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1997,8.5,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1997,403,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1997,1231,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1997,9.2,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1997,330,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1997,785,Business,Reason for Journey,Visitors to Ireland (Thousand)
1997,5.2,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1997,184,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1997,380,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1997,13.2,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1998,1147,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1998,3097,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1998,8,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1998,434,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1998,1290,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1998,9,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1998,361,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1998,891,Business,Reason for Journey,Visitors to Ireland (Thousand)
1998,5.1,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1998,193,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1998,438,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1998,12.4,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1999,1228,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1999,3306,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1999,7.4,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1999,453,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1999,1439,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1999,8.3,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1999,438,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1999,994,Business,Reason for Journey,Visitors to Ireland (Thousand)
1999,5.6,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1999,161,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1999,328,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1999,13,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2000,1386,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2000,3346,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
2000,7.4,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2000,569,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2000,1564,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
2000,8.4,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2000,486,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2000,1074,Business,Reason for Journey,Visitors to Ireland (Thousand)
